,0,1
280_70_-7_0,-0.0015721783816431073,-0.002523362941905948
280_80_-6_0,-0.0017994528000890853,-0.0021396039051222587
280_90_-5_0,-0.0026656886645228107,-0.004190019368558116
280_90_-4_0,-0.0018475375104482527,-0.0031322808396791963
280_90_-3_0,-0.001499695590799836,-0.0014813818954690218
280_90_-2_0,-0.0019240895806890688,-0.002275396132940581
280_100_-1_0,-0.0032581480052807053,-0.003642518355098143
280_100_0_0,-0.003692092972466832,-0.0043567337258257
280_90_1_0,-0.0033676405989239806,-0.0031792175220788717
280_90_2_0,-0.004197981961860222,-0.006382755437543301
280_90_3_0,-0.005998182199404741,-0.0076166796765679366
210_90_4_0,-0.009076643352640853,-0.010860314078037198
210_80_5_0,-0.007021140027347106,-0.010252480807681203
210_70_6_0,-0.006404598330938276,-0.00698278187060804
210_70_7_0,-0.01373107055817298,-0.017110928070571383
210_60_8_0,-0.006518500062712889,-0.0073495963423333725
210_50_9_0,-0.00508054095155956,-0.016840428272391707
210_-40_-9_0,-0.0009717042296615757,-0.0018248555278057672
210_-30_-8_0,-0.0009527654991389029,-100.0
140_-30_-7_0,-0.00982154461072343,-0.009368169670095162
140_-20_-6_0,-0.018592101893971,-0.029494160674927453
140_-10_-5_0,-0.010317249857062508,-0.02836317568144088
140_-10_-4_0,-0.0075795997273824115,-0.036722617997512745
140_-10_-3_0,-0.006498179803500048,-0.015852367904590554
140_-10_-2_0,-0.005176096985671283,-0.005354646414171599
140_0_-1_0,-0.002642553040058041,-0.005062551422644263
140_0_0_0,-0.0035856108111353025,-0.004588624980195038
140_-10_1_0,-0.00493409744571519,-0.014128548879893494
140_-10_2_0,-0.005315153675284783,-0.009599101404052455
140_-10_3_0,-0.0018077908917751976,-0.028389325098954137
140_-10_4_0,-0.002192277403833324,-0.0025424914143323085
140_-20_5_0,-0.0031961387316590934,-0.0031345847345677783
140_-30_6_0,-0.0034327746843017264,-0.0036906403351605827
140_-30_7_0,-0.008366862449877608,-0.007683726998844397
140_-40_8_0,-259.3566334005528,-0.011717755963627546
140_-50_9_0,-162.07768373198505,-629.1700000000602
130_-60_10_0,-438.89081483002224,-4.2889346944838936e-05
280_80_-5_0,-0.0013306249285275334,-0.001841782571698163
280_90_-1_0,-0.0023331595237504575,-0.002437639539890167
280_90_0_0,-0.002935139359877516,-0.0035105873863071043
210_80_4_0,-0.004768395237640048,-0.004667973669835461
140_-20_-5_0,-0.005860614124957841,-0.02551299430591728
140_-10_-1_0,-0.002092712628377083,-0.0020676700104142864
140_-10_0_0,-0.0040794937132829666,-0.0038673068836418646
140_-20_4_0,-0.0014938178423145418,-0.001593287894933665
130_-60_-9_0,-4.348520078541501e-17,0.0
120_-50_-8_0,-1.1924031271936034e-05,-2.7245152328377082e-05
120_-50_-7_0,0.0,0.0
110_-40_-6_0,0.0,0.0
110_-40_-5_0,0.0,0.0
110_-30_-4_0,-1.1652939083475835e-05,0.0
100_-30_-3_0,-0.07829307696647245,-0.4324924165475781
100_-30_-2_0,-0.07452426659454314,-0.1324595471636307
90_-30_-1_0,-0.2703212054422957,-0.27721378905661004
90_-30_0_0,-0.3370886993154092,-0.332577331411147
90_-30_1_0,-0.3260452327937477,-0.4442840211793162
80_-30_2_0,-0.9042270487883172,-0.634702504913101
80_-30_3_0,-0.9478266265408415,-1.1417257733117125
70_-40_4_0,-3.671097110853264,-4.256215842343066
